country,ISO3,region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Iraq,IRQ,Middle East & North Africa,45,44,43,42,42,41,40,39,38,38,37,36,35,34,33,32
Ireland,IRL,Europe & Central Asia,7,7,7,6,6,5,5,5,5,4,4,4,4,4,4,4
Israel,ISR,Middle East & North Africa,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4
Italy,ITA,Europe & Central Asia,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4
Jamaica,JAM,Latin America & Caribbean,22,21,21,20,20,20,20,19,19,19,18,18,17,17,16,16
Japan,JPN,East Asia & Pacific,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
Jordan,JOR,Middle East & North Africa,28,27,26,26,25,24,23,23,22,22,21,20,20,19,19,18
Kazakhstan,KAZ,Europe & Central Asia,44,41,39,37,35,33,30,28,26,24,22,20,18,16,15,14
Kenya,KEN,Sub-Saharan Africa,108,104,100,95,91,86,81,76,70,66,62,59,56,53,51,49
Kiribati,KIR,East Asia & Pacific,71,69,67,66,65,65,65,65,65,64,63,62,60,59,57,56
Kuwait,KWT,Middle East & North Africa,13,13,12,12,12,12,12,12,11,11,11,10,10,9,9,9
Kyrgyzstan,KGZ,Europe & Central Asia,49,46,44,43,41,39,38,36,34,32,30,28,26,24,23,21
Laos,LAO,East Asia & Pacific,118,113,109,105,101,97,94,90,86,83,80,77,74,71,69,67
Latvia,LVA,Europe & Central Asia,17,16,15,14,13,13,12,11,11,10,9,9,9,8,8,8
Lebanon,LBN,Middle East & North Africa,20,19,18,16,15,14,13,12,11,11,10,10,9,9,9,8
Lesotho,LSO,Sub-Saharan Africa,117,119,120,122,123,123,123,119,117,107,101,97,94,94,92,90
Liberia,LBR,Sub-Saharan Africa,182,170,158,146,135,125,116,108,101,95,89,85,80,76,73,70
Libya,LBY,Middle East & North Africa,28,27,27,26,24,23,22,20,19,18,17,18,15,15,14,13
Lithuania,LTU,Europe & Central Asia,12,11,11,11,10,10,10,9,8,7,7,6,6,5,5,5
Luxembourg,LUX,Europe & Central Asia,5,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2
Macedonia,MKD,Europe & Central Asia,16,15,15,14,14,14,13,13,12,11,10,9,7,7,6,6
Madagascar,MDG,Sub-Saharan Africa,109,103,97,92,86,81,75,71,67,63,60,58,56,53,52,50
Malawi,MWI,Sub-Saharan Africa,174,162,148,135,125,116,110,105,100,95,91,85,77,71,67,64
Malaysia,MYS,East Asia & Pacific,10,9,9,9,8,8,8,8,8,8,8,8,8,8,7,7
Maldives,MDV,South Asia,44,39,34,30,29,23,20,18,16,14,13,12,11,10,9,9
Mali,MLI,Sub-Saharan Africa,220,211,202,192,182,172,163,155,148,142,137,132,127,123,118,115
Malta,MLT,Middle East & North Africa,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,6
Marshall Islands,MHL,East Asia & Pacific,41,41,41,41,40,40,40,40,40,39,39,39,38,38,37,36
Mauritania,MRT,Sub-Saharan Africa,114,113,113,112,111,110,108,106,103,100,98,95,93,90,88,85
Mauritius,MUS,Sub-Saharan Africa,19,17,16,16,16,16,16,16,16,16,15,15,15,14,14,14
Mexico,MEX,Latin America & Caribbean,26,24,23,21,20,20,19,18,18,17,17,16,15,15,14,13
Micronesia,FSM,East Asia & Pacific,54,53,52,50,49,47,46,45,43,42,41,39,38,37,36,35
Moldova,MDA,Europe & Central Asia,31,28,25,23,21,20,19,18,18,17,17,17,17,16,16,16
Monaco,MCO,Europe & Central Asia,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
Mongolia,MNG,East Asia & Pacific,63,58,54,50,47,43,40,37,35,32,30,28,26,25,24,22
Montenegro,MNE,Europe & Central Asia,14,13,13,12,11,10,10,9,8,7,7,6,6,5,5,5
Morocco,MAR,Middle East & North Africa,50,48,46,44,42,40,39,37,36,35,33,32,31,30,29,28
Mozambique,MOZ,Sub-Saharan Africa,171,163,155,147,140,134,128,120,114,108,103,98,91,86,81,79
Myanmar,MMR,East Asia & Pacific,82,80,78,75,73,71,68,66,87,61,59,57,55,54,52,50
Namibia,NAM,Sub-Saharan Africa,76,76,76,75,74,72,68,64,60,57,54,52,50,48,46,45
Nepal,NPL,South Asia,81,76,72,67,64,60,57,54,51,48,45,43,41,39,37,36
Netherlands,NLD,Europe & Central Asia,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4
New Zealand,NZL,East Asia & Pacific,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6
Nicaragua,NIC,Latin America & Caribbean,40,38,36,35,33,32,30,29,28,27,26,25,24,24,23,22
Niger,NER,Sub-Saharan Africa,227,218,207,196,184,173,162,151,141,132,124,116,110,104,100,96
Nigeria,NGA,Sub-Saharan Africa,187,181,176,170,164,158,152,146,141,136,130,126,121,117,113,109
North Korea,PRK,East Asia & Pacific,60,52,45,39,35,33,32,32,32,32,31,30,29,27,26,25
Norway,NOR,Europe & Central Asia,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3
Oman,OMN,Middle East & North Africa,17,16,15,14,13,13,12,12,12,12,12,12,12,12,12,12
Pakistan,PAK,South Asia,112,110,108,105,103,101,99,97,96,94,92,90,88,86,83,81
Palau,PLW,East Asia & Pacific,27,26,25,24,24,23,22,21,21,20,19,19,18,18,17,16
Panama,PAN,Latin America & Caribbean,26,25,25,24,24,23,22,22,21,21,20,19,19,18,18,17
Papua New Guinea,PNG,East Asia & Pacific,79,78,77,76,75,74,73,72,70,68,66,64,63,61,59,57
Paraguay,PRY,Latin America & Caribbean,34,33,32,30,29,28,28,27,26,25,24,23,23,22,21,21
