country,region,ISO3,Diarrhoeal diseases,HIV,Pertussis,Measles,Meningitis and encephalitis,Malaria,Respiratory infections,Prematurity,Birth asphixia,Sepsis and infections,Perinatal and nutritional,Congenital anomalies,Injuries,Other,total
Congo,Sub-Saharan Africa,COG,2.5,2.7,1.1,0,0.5,10.5,5.4,7.5,5.3,3.2,2.2,3.8,2.1,1.1,47.9
Costa Rica,Latin America & Caribbean,CRI,0.1,0,0.1,0,0.2,0,0.2,2.6,0.9,0.2,0.4,4,0.3,0.7,9.7
Croatia,Europe & Central Asia,HRV,0,0,0,0,0.2,0,0.1,0.7,0.3,0.2,1.1,1.2,0.1,0.6,4.5
Cuba,Latin America & Caribbean,CUB,0.1,0,0,0,0.2,0,0.7,0.9,0.7,0.4,0.4,1.3,0.5,1.2,6.4
Cyprus,Europe & Central Asia,CYP,0,0,0.1,0,0,0,0.1,0.8,0.3,0.1,0.1,1.3,0.2,0.6,3.6
Czech Republic,Europe & Central Asia,CZE,0,0,0,0,0.1,0,0.2,0.9,0.4,0.3,0.3,0.9,0.2,0.3,3.6
North Korea,East Asia & Pacific,PRK,1.5,0,0.1,0,0.4,0,4.5,6,2.9,1.6,2.6,3.6,2.1,1.8,27.1
Democratic Republic of the Congo,Sub-Saharan Africa,COD,12.3,1.6,1.1,5.6,3.3,17.4,18.1,14.8,12,6.2,10.4,3.9,5.8,3.2,115.7
Denmark,Europe & Central Asia,DNK,0,0,0,0,0,0,0,1.5,0.2,0,0.4,0.7,0.1,0.5,3.4
Djibouti,Middle East & North Africa,DJI,6.3,1.9,0.2,1.4,1.3,1.2,10.5,12.7,9.1,4.9,7.2,5.7,4.2,2.2,68.8
Dominica,Latin America & Caribbean,DMA,0,0,0,0,0,0,0.6,1.1,5.3,1.6,0.8,0.9,0,0.9,11.2
Dominican Republic,Latin America & Caribbean,DOM,1.4,0.2,0.2,0,0.3,0,3.6,6.8,3.5,2.1,1.6,4.7,2.4,1.4,28.2
Ecuador,Latin America & Caribbean,ECU,0.9,0,0.2,0,0.5,0,2.6,4.5,1.6,1,1.7,4.8,2.2,2.4,22.4
Egypt,Middle East & North Africa,EGY,1.1,0,0.2,0.1,0.1,0,2.3,6.2,2.8,0.6,1.3,4.5,0.8,1.5,21.5
El Salvador,Latin America & Caribbean,SLV,0.8,0.3,0.2,0,0.3,0,2,2.7,1.1,0.6,1.2,3.5,1.2,1.6,15.5
Equatorial Guinea,Sub-Saharan Africa,GNQ,7.7,7,1.4,0,3,14.3,14.6,13.7,10.6,5.5,5.4,3.6,4.1,3.2,94.1
Eritrea,Sub-Saharan Africa,ERI,5.1,0.3,1.1,1.3,1.1,0.2,9.7,4.8,6.1,3.7,5.4,4.1,4.4,2,49.3
Estonia,Europe & Central Asia,EST,0,0,0,0,0.2,0,0.2,0.3,0.3,0.4,0.1,0.9,0.7,0.4,3.5
Ethiopia,Sub-Saharan Africa,ETH,6,1.5,1.2,1.5,1.5,1.9,11.3,8,9.7,5,6.2,3.5,4.2,1.8,63.3
Fiji,East Asia & Pacific,FJI,1.1,0,0.2,0,0.8,0,3.1,4.4,1.7,1.2,2,4.6,2.9,1.8,23.8
Finland,Europe & Central Asia,FIN,0,0,0,0,0,0,0.1,0.5,0.2,0.1,0.1,0.8,0.2,0.7,2.7
France,Europe & Central Asia,FRA,0.1,0,0,0,0.1,0,0.1,0.7,0.5,0.1,0.6,1.1,0.3,0.7,4.3
Gabon,Sub-Saharan Africa,GAB,3.5,1.2,1.1,0.3,0.7,10.2,6.7,8.9,6.7,4,2.9,4.7,2.6,1.4,54.9
Gambia,Sub-Saharan Africa,GMB,5.3,0.5,1,0.3,1.1,14.5,9.1,9.4,9.3,5.4,5,4.9,3.4,2,71.2
Georgia,Europe & Central Asia,GEO,0.1,0,0.1,0,0.2,0,1,3.7,1.2,1,1.1,3.5,0.7,0.7,13.3
Germany,Europe & Central Asia,DEU,0,0,0,0,0,0,0.1,1.1,0.3,0.1,0.3,1.2,0.2,0.5,3.8
Ghana,Sub-Saharan Africa,GHA,6,0.6,1,0.7,1.4,15.7,10.3,10.6,9.7,5.7,5.6,5,3.7,1.8,77.8
Greece,Europe & Central Asia,GRC,0,0,0,0,0,0,0.1,1.4,0.3,0,0.1,2,0.2,0.4,4.5
Grenada,Latin America & Caribbean,GRD,0,0,0,0,0,0,0.1,1.8,1.8,0.8,1.8,2.3,0.3,3,11.9
Guatemala,Latin America & Caribbean,GTM,2.3,0.4,0.2,0,0.4,0,5.4,3.9,4.4,2.7,2.8,3.7,2.8,1.8,30.8
Guinea,Sub-Saharan Africa,GIN,8,1.6,1.2,0.8,2.3,27.4,13.3,10,12.4,5.7,7,3.3,4,2,99.0
Guinea-Bissau,Sub-Saharan Africa,GNB,11.7,4.5,1,0.5,3.3,22.1,17.6,13.7,15.4,8.4,8.9,4.8,5.1,3.7,120.7
Guyana,Latin America & Caribbean,GUY,1.9,0.4,0,0,0.3,3.1,2.1,7.2,4.4,2.3,5.8,3.3,2.4,4.6,37.8
Haiti,Latin America & Caribbean,HTI,8.7,0.7,1.4,0,2.1,0.4,14.5,10.3,8.3,4.4,8.7,5,5.5,2.5,72.5
Honduras,Latin America & Caribbean,HND,1.4,0.3,0.2,0,0.3,0,2.8,5.3,2.1,1.5,2.2,3.7,0.6,1.6,22.0
Hungary,Europe & Central Asia,HUN,0,0,0,0,0.1,0,0.3,2.3,0.4,0.2,0.3,1.8,0.2,0.6,6.2
Iceland,Europe & Central Asia,ISL,0,0,0,0,0,0,0,0.7,0,0,0.3,0.3,0.1,0.8,2.2
India,South Asia,IND,5.5,0.2,0.2,1.4,1.3,0.3,6.9,14.1,5.9,4.3,4.3,3.7,2,1.7,51.8
Indonesia,East Asia & Pacific,IDN,1.6,0.3,0.2,1.4,0.5,0.5,4.9,5.7,3.2,1.9,2.6,3.3,2.2,1.4,29.7
Iran,Middle East & North Africa,IRN,0.6,0,0.2,0,0.1,0,2.2,3.8,1.9,1.1,1.2,3.4,1.2,0.9,16.6
Iraq,Middle East & North Africa,IRQ,2.2,0,0.2,0,0.4,0,5.1,7,4.9,2.9,1.6,4.3,2.5,2.5,33.6
Ireland,Europe & Central Asia,IRL,0,0,0,0,0,0,0.1,0.9,0.3,0,0.2,1.6,0.2,0.5,3.8
Israel,Middle East & North Africa,ISR,0,0,0,0,0.1,0,0.1,1,0.2,0.1,0.3,1.4,0.2,0.7,4.1
Italy,Europe & Central Asia,ITA,0,0,0,0,0,0,0,1,0.3,0.1,0.5,0.9,0.1,0.6,3.5
Jamaica,Latin America & Caribbean,JAM,0.4,0.2,0.2,0,0.2,0,1.3,4.2,1.5,1.1,1.4,3.7,1.2,1.2,16.6
Japan,East Asia & Pacific,JPN,0.1,0,0,0,0,0,0.2,0.2,0.1,0.1,0.2,1.1,0.4,0.5,2.9
Jordan,Middle East & North Africa,JOR,0.7,0,0.2,0,0.1,0,1.9,5.2,1.8,1.1,0.9,4.3,1.4,1,18.6
Kazakhstan,Europe & Central Asia,KAZ,0.7,0,0.2,0,0.1,0,2.1,3,2.1,1,1,3.4,1.4,1.2,16.2
Kenya,Sub-Saharan Africa,KEN,7,3.1,1.1,0.2,1.6,3.1,12.3,8.9,9.8,4.5,6.8,4.4,4.7,2.5,70.0
Kiribati,East Asia & Pacific,KIR,6.1,0,0,0,1.2,0,10.8,7.8,7.5,3.3,6.1,5.2,4.6,4.7,57.3
Kuwait,Middle East & North Africa,KWT,0,0,0,0,0.1,0,0.7,3,0.3,0.1,0.2,3.7,0.6,0.7,9.4
Kyrgyzstan,Europe & Central Asia,KGZ,1.2,0,0.2,0,0.2,0,3.3,4.2,3.5,1.8,1.4,4.4,2.2,1.4,23.8
Laos,East Asia & Pacific,LAO,8.2,0.2,1.3,0,1.7,0.5,13.9,8.6,10.3,5.3,8.8,4.2,5.7,2.5,71.2
Latvia,Europe & Central Asia,LVA,0,0,0,0,0,0,0.2,0.8,2.7,0.6,0.4,2.5,0.5,0.6,8.3
Lebanon,Middle East & North Africa,LBN,0.2,0.1,0.1,0,0,0,0.6,2.7,0.9,0.4,0.7,2,0.5,0.6,8.8
Lesotho,Sub-Saharan Africa,LSO,7.3,19,1,0.4,1.6,0,12.1,14.7,14.5,7.5,6.9,4.4,4,2.5,95.9
Liberia,Sub-Saharan Africa,LBR,5.7,0.5,1.1,0,1.2,15.3,10,7.6,9.1,5.1,5.4,3.8,3.7,1.8,70.3
Libya,Middle East & North Africa,LBY,0.2,0,0.2,0,0.1,0,1.1,3.3,1.3,0.7,1,4,1.2,1.4,14.5
Lithuania,Europe & Central Asia,LTU,0,0,0,0,0.1,0,0.2,0.8,0.5,0.5,0.2,1.6,0.6,0.4,4.9
Luxembourg,Europe & Central Asia,LUX,0,0,0,0,0.1,0,0,0.4,0.1,0.1,0.3,0.3,0.3,0.4,2.0
Madagascar,Sub-Saharan Africa,MDG,5.2,0.6,1.1,0,1.2,4.1,10.1,6.9,7.1,3.9,5.3,3.3,4,2,54.8
